Strategy,Games Won Foul,Games Played Foul,Games Won NoFoul,Games Played NoFoul
"Triangle(Point2D(0, 0), Point2D(3, 0), Point2D(3, 3))",74.0,79,603.0,645
"Triangle(Point2D(6, 3), Point2D(6, 6), Point2D(3, 3))",91.5,97,624.5,679
"Polygon(Point2D(9, 6), Point2D(9, 9), Point2D(6, 6), Point2D(6, 3))",53.0,57,598.5,659
"Polygon(Point2D(18, 15), Point2D(18, 18), Point2D(15, 15), Point2D(15, 12))",13.5,17,411.5,461
"Triangle(Point2D(6, 3), Point2D(3, 3), Point2D(3, 0))",38.0,41,460.0,497
"Triangle(Point2D(3, 0), Point2D(6, 0), Point2D(6, 3))",1.0,1,1.5,2
"Polygon(Point2D(21, 18), Point2D(21, 21), Point2D(18, 18), Point2D(18, 15))",11.0,12,283.5,318
"Triangle(Point2D(12, 3), Point2D(12, 6), Point2D(9, 3))",0.0,0,0.5,1
"Triangle(Point2D(6, 0), Point2D(9, 0), Point2D(9, 3))",0.0,0,0.0,0
"Polygon(Point2D(18, 12), Point2D(18, 15), Point2D(15, 12), Point2D(15, 9))",0.0,0,16.5,18
"Polygon(Point2D(21, 15), Point2D(21, 18), Point2D(18, 15), Point2D(18, 12))",2.5,3,23.0,26
"Triangle(Point2D(12, 3), Point2D(9, 3), Point2D(9, 0))",0.0,0,1.5,2
"Triangle(Point2D(9, 0), Point2D(12, 0), Point2D(12, 3))",0.0,0,1.0,1
"Polygon(Point2D(15, 6), Point2D(15, 9), Point2D(12, 6), Point2D(12, 3))",0.0,0,4.0,6
"Polygon(Point2D(18, 9), Point2D(18, 12), Point2D(15, 9), Point2D(15, 6))",0.0,0,7.0,8
"Polygon(Point2D(21, 12), Point2D(21, 15), Point2D(18, 12), Point2D(18, 9))",0.5,1,16.5,18
"Triangle(Point2D(12, 0), Point2D(15, 0), Point2D(15, 3))",0.0,0,1.5,2
"Polygon(Point2D(18, 6), Point2D(18, 9), Point2D(15, 6), Point2D(15, 3))",0.0,0,6.5,9
"Polygon(Point2D(21, 9), Point2D(21, 12), Point2D(18, 9), Point2D(18, 6))",0.5,1,7.5,9
"Triangle(Point2D(15, 0), Point2D(18, 0), Point2D(18, 3))",0.0,0,0.0,0
"Polygon(Point2D(21, 6), Point2D(21, 9), Point2D(18, 6), Point2D(18, 3))",0.0,0,5.5,6
"Triangle(Point2D(21, 3), Point2D(21, 6), Point2D(18, 3))",0.0,0,1.0,1
"Triangle(Point2D(21, 3), Point2D(18, 3), Point2D(18, 0))",0.0,0,2.0,2
"Triangle(Point2D(18, 0), Point2D(21, 0), Point2D(21, 3))",0.0,0,0.0,0
"Triangle(Point2D(9, 3), Point2D(9, 6), Point2D(6, 3))",0.0,0,0.5,1
"Triangle(Point2D(9, 3), Point2D(6, 3), Point2D(6, 0))",0.0,0,0.5,1
"Triangle(Point2D(15, 3), Point2D(15, 6), Point2D(12, 3))",0.0,0,2.5,4
"Triangle(Point2D(15, 3), Point2D(12, 3), Point2D(12, 0))",0.0,0,1.5,2
"Triangle(Point2D(18, 3), Point2D(18, 6), Point2D(15, 3))",0.0,0,4.0,5
"Triangle(Point2D(18, 3), Point2D(15, 3), Point2D(15, 0))",0.0,0,1.5,2
"Polygon(Point2D(15, 12), Point2D(15, 15), Point2D(12, 12), Point2D(12, 9))",20.0,24,537.5,595
"Polygon(Point2D(15, 9), Point2D(15, 12), Point2D(12, 9), Point2D(12, 6))",0.0,0,8.0,9
"Polygon(Point2D(12, 9), Point2D(12, 12), Point2D(9, 9), Point2D(9, 6))",34.0,39,563.0,627
"Polygon(Point2D(12, 6), Point2D(12, 9), Point2D(9, 6), Point2D(9, 3))",0.0,0,1.5,2
